account_name,industry,arr,last_contact_date,account_tier,website,region,owner
HIAS,Religious,,2023-05-21,Mid-Market,https://hias.org/,Europe,Rep A
Special Olympics,Human Services,7850.00,2026-07-05,SMB,https://www.specialolympics.org/,North America,Rep D
Learning Ally,Education,11150.00,2025-04-09,SMB,https://learningally.org/,North America,Rep B
Brookings Institution,Research,16300.00,2026-03-07,SMB,https://www.brookings.edu/,Europe,Rep A
Wikimedia Foundation,,17350.00,2026-07-15,SMB,https://wikimediafoundation.org/,North America,Rep C
Goodwill Industries International,Human Services,,2026-03-04,Mid-Market,https://www.goodwill.org/,North America,Rep B
Linux Foundation,,37100.00,2026-07-18,Mid-Market,https://www.linuxfoundation.org/,North America,Rep A
Art Institute of Chicago,Arts & Culture,0.00,2026-07-15,SMB,https://www.artic.edu/,Asia Pacific,Rep A
Khan Academy,Education,81500.00,2026-04-07,Strategic,https://www.khanacademy.org/,North America,Rep D
Free Software Foundation,,,2026-04-19,Strategic,https://www.fsf.org/,North America,Rep D
No Kid Hungry,Human Services,,2026-05-18,Enterprise,https://www.nokidhungry.org/,Europe,Rep C
Sierra Club,Environment,9200.00,2026-07-07,SMB,https://www.sierraclub.org/,South America,Rep A
Scholarship America,Education,,2026-04-19,Enterprise,https://scholarshipamerica.org/,Asia Pacific,Rep A
Doctors Without Borders,Healthcare,90600.00,2026-06-13,Strategic,https://www.doctorswithoutborders.org/,Europe,Rep B
Friends of the Earth,,9950.00,2026-02-04,SMB,https://foe.org/,North America,Rep D
Food for the Hungry,Religious,12850.00,2026-06-20,SMB,https://www.fh.org/,North America,Rep A
National Alliance to End Homelessness,Human Services,29550.00,2023-12-20,Mid-Market,https://endhomelessness.org/,Asia Pacific,Rep C
Rocky Mountain Institute,,7200.00,2026-03-20,SMB,https://rmi.org/,Europe,Rep D
Dogs Trust,,10150.00,2026-02-11,SMB,https://www.dogstrust.org.uk/,North America,Rep D
St. Jude Children's Research Hospital,Healthcare,,2026-03-28,Strategic,https://www.stjude.org/,North America,Rep D
Orbis International,Healthcare,3400.00,2026-03-11,SMB,https://www.orbis.org/,North America,Rep D
College Possible,Education,41250.00,2026-05-11,Mid-Market,https://collegepossible.org/,Africa,Rep C
+1-202-555-0147,Community Development,24850.00,2026-07-04,Mid-Market,https://www.techsoup.org/,South America,Rep D
Concern Worldwide,International Aid,0.00,2026-05-22,Mid-Market,https://www.concern.net/,Europe,Rep B
Gary Sinise Foundation,,2300.00,2026-06-30,SMB,https://www.garysinisefoundation.org/,Asia Pacific,Rep B
International Justice Mission,,8700.00,2025-08-11,SMB,https://www.ijm.org/,Europe,Rep A
Sightsavers,Healthcare,,2023-10-12,Strategic,https://www.sightsavers.org/,Middle East,Rep B
American Red Cross,Human Services,,2026-03-17,Strategic,https://www.redcross.org/,North America,Rep D
The Leukemia & Lymphoma Society,Healthcare,24200.00,,Mid-Market,https://www.lls.org/,Asia Pacific,Rep C
NRDC,Environment,34250.00,2023-03-15,Mid-Market,http://nrdc.org/,Europe,Rep B
Educate Girls,Education,33100.00,2025-07-09,Mid-Market,https://www.educategirls.ngo/,North America,Rep C
CRS,Religious,28750.00,2024-11-16,Mid-Market,https://www.crs.org/,South America,Rep D
Film Independent,Arts & Culture,61950.00,,Strategic,https://www.filmindependent.org/,Asia Pacific,Rep B
J. Paul Getty Trust,Arts & Culture,,2026-06-09,Mid-Market,https://www.getty.edu/,North America,Rep C
American Alliance of Museums,Arts & Culture,29800.00,,Mid-Market,https://www.aam-us.org/,Europe,Rep B
Mozilla Foundation,,,2026-06-24,Mid-Market,https://foundation.mozilla.org/,Europe,Rep B
Room to Read,Education,8150.00,2026-07-19,SMB,https://www.roomtoread.org/,Europe,Rep D
Teach For All,Education,10750.00,2025-05-25,SMB,https://teachforall.org/,Europe,Rep D
JA Worldwide,Education,75200.00,2026-07-07,Strategic,https://www.jaworldwide.org/,North America,Rep B
World Animal Protection,,19600.00,2026-06-07,SMB,https://www.worldanimalprotection.org/,South America,Rep D
Enterprise Community Partners,Community Development,40500.00,2024-05-21,Mid-Market,https://www.enterprisecommunity.org/,Asia Pacific,Rep A
NAACP,,63100.00,2026-05-12,Strategic,https://naacp.org/,North America,Rep D
International Fund for Animal Welfare,Animal Welfare,45900.00,2026-07-09,Mid-Market,https://www.ifaw.org/,Asia Pacific,Rep C
Grameen Foundation,,11200.00,,SMB,https://grameenfoundation.org/,North America,Rep C
Médecins du Monde,International Aid,0.00,2025-12-23,SMB,https://www.medecinsdumonde.org/,North America,Rep B
Carnegie Hall,Arts & Culture,81600.00,2026-03-21,Enterprise,https://www.carnegiehall.org/,North America,Rep C
World Relief,Religious,14050.00,2026-07-21,SMB,https://worldrelief.org/,North America,Rep B
American Heart Association,,0.00,2026-07-20,SMB,https://www.heart.org/,Asia Pacific,Rep B
Best Buddies International,Human Services,0.00,2026-06-25,SMB,https://www.bestbuddies.org/,North America,Rep D
Facing History & Ourselves,Education,24000.00,2024-02-28,SMB,https://www.facinghistory.org/,North America,Rep D
Planned Parenthood Federation of America,Healthcare,,2025-02-26,SMB,https://www.plannedparenthood.org/,North America,Rep A
Lions Clubs International,Community Development,4800.00,2026-02-03,SMB,https://www.lionsclubs.org/,North America,Rep B
Adventist Development and Relief Agency,Religious,15250.00,2023-05-23,SMB,https://adra.org/,Africa,Rep C
IRC,Human Services,53400.00,2025-09-29,Strategic,http://rescue.org/,Asia Pacific,Rep D
Jewish Federations of North America,Religious,27150.00,2026-02-19,Mid-Market,https://www.jewishfederations.org/,North America,Rep A
MAP International,Religious,7650.00,2026-07-21,SMB,https://www.map.org/,Asia Pacific,Rep B
DonorsChoose,Education,9550.00,2025-04-25,SMB,https://www.donorschoose.org/,North America,Rep D
American Friends Service Committee,Religious,77100.00,2025-12-04,Strategic,https://www.afsc.org/,Africa,Rep A
Amnesty International,,44200.00,2024-01-06,Mid-Market,https://www.amnesty.org/,Asia Pacific,Rep D
Animal Welfare Institute,Animal Welfare,36250.00,2025-09-21,,https://awionline.org/,North America,Rep D
Surfrider Foundation,,,2026-03-10,Mid-Market,https://www.surfrider.org/,North America,Rep A
Relief International,International Aid,12650.00,2025-04-14,SMB,https://www.ri.org/,Africa,Rep D
World Wildlife Fund,Environment,57550.00,2026-07-21,Mid-Market,https://www.worldwildlife.org/,North America,Rep A
Norwegian Refugee Council,International Aid,96400.00,2026-07-27,Enterprise,https://www.nrc.no/,Asia Pacific,Rep A
CareerVillage.org,Human Services,,2026-05-10,Mid-Market,https://www.careervillage.org/,North America,Rep B
Depaul USA,Human Services,10350.00,2026-03-18,SMB,https://depaulusa.org/,South America,Rep B
The Arc,Human Services,14950.00,2025-04-25,SMB,https://thearc.org/,North America,Rep A
